gia,khoang_gia_min,khoang_gia_max,thuong_hieu,dong_xe,so_km_da_di,loai_xe,dung_tich_xe,xuat_xu,tuoi_xe,phan_khuc,gia_predict,resid,resid_z,vi_pham_minmax,ngoai_khoang_tin_cay,iso_score,score,is_anomaly
20.0,22.35,26.24,Honda,Air Blade,48000,Tay ga,100 - 175 cc,Việt Nam,7,trung_cap,34.70845454545454,-14.708454545454543,-2.6316553333785335,1,0,0,125.26621333514134,1
6.3,7.62,8.94,Honda,Air Blade,20000,Tay ga,100 - 175 cc,Nước khác,17,trung_cap,20.973500000000005,-14.673500000000004,-2.625417425936149,1,0,0,125.01669703744595,1
44.0,33.66,39.52,Honda,Dòng khác,1111,Xe số,Dưới 50 cc,Nhật Bản,6,trung_cap,32.053000000000004,11.946999999999996,2.125215514949044,1,1,0,125.00862059796177,1
64.0,74.57,87.54,Honda,SH,34000,Tay ga,100 - 175 cc,Việt Nam,3,trung_cap,73.025,-9.025000000000006,-1.6173991630714393,1,1,1,124.69596652285757,1
30.0,17.23,20.23,Piaggio,Vespa,48000,Tay ga,100 - 175 cc,Đang cập nhật,11,pho_thong,16.62640368,13.37359632,2.6167114153884725,1,0,0,124.66845661553889,1
22.5,14.51,17.04,Yamaha,Exciter,11111,Tay côn/Moto,100 - 175 cc,Việt Nam,12,pho_thong,12.271999999999991,10.228000000000009,2.590377618116212,1,0,0,123.61510472464849,1
38.0,20.16,23.67,Suzuki,Satria,0,Tay côn/Moto,100 - 175 cc,Nước khác,6,pho_thong,26.582000000000008,11.417999999999992,2.5893936986887214,1,0,0,123.57574794754886,1
70.0,33.2,38.97,Honda,SH,70000,Tay ga,100 - 175 cc,Nước khác,18,trung_cap,61.084,8.915999999999997,1.5843102560762574,1,1,1,123.3724102430503,1
45.0,36.2,42.5,Yamaha,Nvx,50000,Tay ga,100 - 175 cc,Việt Nam,3,pho_thong,36.752,8.247999999999998,2.079012284170562,1,1,0,123.16049136682248,1
49.0,33.12,38.88,Hãng khác,Khác,1363,Tay ga,50 - 100 cc,Nước khác,4,pho_thong,40.341460000000005,8.658539999999995,2.0542657280375916,1,1,0,122.17062912150367,1
60.0,25.54,29.98,Honda,Future,21000,Xe số,50 - 100 cc,Thái Lan,15,trung_cap,48.46265600000001,11.53734399999999,2.052109251429152,1,1,0,122.08437005716608,1
76.0,303.6,356.4,Honda,CB,25000,Tay côn/Moto,Trên 175 cc,Đang cập nhật,19,trung_cap,67.28100500000001,8.718994999999993,1.549153198826427,1,1,1,121.96612795305708,1
47.0,15.04,17.65,Honda,Dream,38000,Xe số,50 - 100 cc,Thái Lan,32,trung_cap,38.33461103999999,8.665388960000008,1.5395867887494439,1,1,1,121.58347154997774,1
430.0,14.53,17.05,BMW,Khác,19000,Tay côn/Moto,Trên 175 cc,Đức,7,cao_cap,267.233,162.767,1.521130352202725,1,1,1,120.845214088109,1
60.0,50.95,59.81,Honda,ADV 150,75000,Tay ga,100 - 175 cc,Đang cập nhật,5,trung_cap,51.467000000000006,8.532999999999994,1.5159609607452516,1,1,1,120.63843842981005,1
33.0,19.75,23.19,Honda,Spacy,45247,Tay ga,100 - 175 cc,Đang cập nhật,25,trung_cap,21.66667900333333,11.333320996666671,2.015699777514928,1,0,1,120.62799110059711,1
16.5,7.18,8.42,Kymco,Dòng khác,30000,Tay ga,Dưới 50 cc,Việt Nam,6,pho_thong,10.273150788095233,6.226849211904767,2.5121155707995615,1,0,0,120.48462283198246,1
3.2,24.46,28.71,Honda,Future,17000,Xe số,100 - 175 cc,Đang cập nhật,14,trung_cap,14.426000000000018,-11.226000000000017,-2.010184539112023,1,1,0,120.40738156448091,1
17.0,13.66,16.04,Yamaha,Exciter,123456,Tay côn/Moto,100 - 175 cc,Việt Nam,13,pho_thong,9.082083333333333,7.917916666666667,1.9937632064029398,1,0,1,119.75052825611758,1
25.0,39.46,46.33,Suzuki,Sport / Xipo,100000,Tay côn/Moto,100 - 175 cc,Đang cập nhật,25,pho_thong,16.284899979999995,8.715100020000005,1.9828366776650426,1,0,1,119.3134671066017,1
70.0,40.73,47.82,Honda,SH,61,Tay ga,100 - 175 cc,Nước khác,17,trung_cap,61.693000000000005,8.306999999999995,1.4756295227692537,1,1,1,119.02518091077015,1
3.0,14.53,17.05,Honda,CD,210,Xe số,50 - 100 cc,Nhật Bản,23,trung_cap,13.991,-10.991,-1.9682469819245885,1,1,0,118.72987927698352,1
61.0,51.28,60.19,Honda,Vario,74000,Tay ga,100 - 175 cc,Đang cập nhật,8,trung_cap,52.7551722,8.244827800000003,1.4645344155651343,1,1,1,118.58137662260538,1
1.6e-05,14.95,17.54,Yamaha,Exciter,55000,Tay côn/Moto,100 - 175 cc,Việt Nam,9,pho_thong,7.329009599999994,-7.328993599999994,-1.9439849552906547,1,1,0,117.7593982116262,1
48.0,10.24,12.02,Honda,Wave,8000,Xe số,100 - 175 cc,Việt Nam,20,trung_cap,37.13300000000001,10.86699999999999,1.9324812095770174,1,1,0,117.2992483830807,1
